,LAT_016,LONG_017,lat,long,elevation
7527,32412738,84355805,32.684,-84.585,623.36
7528,32335205,84395936,32.551,-84.652,501.97
7529,32360041,84331920,32.6,-84.551,616.8
7530,32361828,84311812,32.601,-84.517,574.15
7531,32385168,84311340,32.635,-84.517,702.1
7532,32430037,84240658,32.717,-84.4,482.28
7533,32462208,84282553,32.767,-84.467,583.99
7534,32414012,84264066,32.684,-84.434,616.8
7535,32355013,84271090,32.585,-84.45,672.57
7536,32354938,84271062,32.585,-84.45,672.57
7537,32362455,84283453,32.601,-84.468,597.11
7538,32362502,84283363,32.601,-84.468,597.11
7539,32334298,84363481,32.551,-84.601,403.54
7540,32334341,84363596,32.551,-84.601,403.54
7541,32485364,84330799,32.801,-84.55,807.09
7542,32325892,84315919,32.535,-84.518,587.27
7543,32410718,84372222,32.684,-84.617,633.2
7544,32445546,84303481,32.735,-84.501,570.87
7545,32463529,84221279,32.768,-84.367,505.25
7546,32423607,84224328,32.701,-84.368,580.71
7547,32501849,84252816,32.834,-84.417,518.37
7548,33314699,82543715,33.518,-82.901,479.0
7549,33371534,82551556,33.617,-82.917,498.69
7550,33384274,82552764,33.635,-82.917,488.85
7551,33314036,82572566,33.518,-82.951,554.46
7552,33314821,82551059,33.518,-82.917,501.97
7553,33314915,82551059,33.518,-82.917,501.97
7554,33390306,82495718,33.65,-82.818,465.88
7555,33283874,82521412,33.468,-82.867,469.16
7556,33304179,82504884,33.501,-82.835,587.27
7557,33340418,82483016,33.567,-82.801,570.87
7558,33343471,82422779,33.568,-82.701,442.91
7559,33313424,82442803,33.518,-82.734,501.97
7560,33305418,82562569,33.502,-82.934,610.24
7561,33342780,82593026,33.567,-82.984,554.46
7562,33302232,82583370,33.501,-82.968,643.04
7563,33372137,82522543,33.617,-82.867,462.6
7564,33380474,82563901,33.633,-82.934,518.37
7565,33364658,82443321,33.601,-82.734,436.35
7566,33320362,82551732,33.533,-82.917,538.06
7567,33370285,82531032,33.617,-82.884,433.07
7568,33264574,82522885,33.435,-82.867,626.64
7569,33365434,82581065,33.602,-82.967,590.55
7570,33343334,82463615,33.568,-82.768,590.55
7571,33385078,82543160,33.635,-82.901,475.72
7572,33371319,82470221,33.617,-82.783,442.91
7573,33372960,82465926,33.617,-82.768,472.44
7574,33310919,82544017,33.517,-82.901,475.72
7575,33311491,82543816,33.517,-82.901,475.72
7576,31585151,82042913,31.968,-82.067,157.48
7577,31551272,82064946,31.917,-82.101,101.71
7578,31550899,82070877,31.917,-82.117,85.3
7579,31571032,81533817,31.95,-81.884,134.51
7580,31581009,81550955,31.967,-81.917,154.2
7581,31522535,82050027,31.867,-82.083,95.14
7582,31524857,82044270,31.868,-82.068,95.14
7583,31530636,82042521,31.884,-82.067,114.83
7584,31532306,82040876,31.884,-82.067,114.83
7585,32070375,82112392,32.117,-82.184,167.32
7586,32052799,82085524,32.084,-82.135,239.5
7587,32114819,82035616,32.185,-82.052,160.76
7588,32114038,82095151,32.184,-82.151,236.22
7589,32054534,82075959,32.085,-82.118,226.38
7590,32030432,82111021,32.05,-82.184,127.95
7591,32010228,82032134,32.017,-82.051,187.01
7592,31582240,81542649,31.967,-81.901,177.17
7593,31505121,82010879,31.835,-82.017,65.62
7594,32131279,82045235,32.217,-82.068,193.57
7595,32020265,82061315,32.033,-82.1,160.76
7596,32034788,82052014,32.051,-82.084,209.97
7597,32003826,82091688,32.001,-82.15,101.71
7598,31530344,81544640,31.883,-81.901,141.08
7599,32074926,82030342,32.118,-82.05,190.29
7600,32140402,82045746,32.233,-82.068,255.91
7601,31552902,81525570,31.917,-81.868,144.36
7602,31554263,82000266,31.918,-82.0,144.36
7603,32043804,82103546,32.068,-82.168,150.92
7604,32105977,82010588,32.168,-82.017,232.94
7605,32262367,84164231,32.434,-84.268,521.65
7606,32270573,84132737,32.45,-84.217,396.98
7607,32342200,84052772,32.567,-84.084,364.17
7608,32342621,84052539,32.567,-84.084,364.17
7609,32360198,84111932,32.6,-84.184,413.39
7610,32391407,84103993,32.65,-84.168,436.35
7611,32391119,84131592,32.65,-84.217,426.51
7612,32391540,84123657,32.65,-84.201,456.04
7613,32400382,84135944,32.667,-84.218,534.78
7614,32312222,84031206,32.517,-84.05,370.73
7615,32330030,84025035,32.55,-84.035,347.77
7616,32324894,84022436,32.535,-84.034,334.65
7617,32323458,84015120,32.534,-84.018,334.65
7618,32323436,84005641,32.534,-84.002,311.68
7619,32330110,84025049,32.55,-84.035,347.77
7620,32324974,84022436,32.535,-84.034,334.65
7621,32323548,84015139,32.534,-84.018,334.65
7622,32323490,84005680,32.534,-84.002,311.68
7623,32302620,84180464,32.501,-84.3,423.23
7624,32293724,84174124,32.484,-84.284,413.39
7625,32242800,84211216,32.401,-84.35,495.41
7626,32305972,84231428,32.502,-84.384,679.13
7627,32370699,84192488,32.617,-84.317,561.02
7628,32404771,84172893,32.668,-84.284,688.98
7629,32381809,84140636,32.634,-84.234,426.51
7630,32371610,84092228,32.617,-84.151,364.17
7631,32370253,84094608,32.617,-84.151,364.17
7632,32352889,84074965,32.584,-84.118,383.86
7633,32353102,84073036,32.584,-84.118,383.86
7634,32233422,84162276,32.384,-84.267,446.19
7635,32361872,84212602,32.601,-84.351,508.53
7636,32432110,84135659,32.717,-84.218,360.89
7637,32371056,84144686,32.617,-84.235,501.97
7638,32432127,84135573,32.717,-84.218,360.89
7639,32371048,84144783,32.617,-84.235,501.97
7640,32254296,84225440,32.418,-84.368,469.16
7641,32232068,84174848,32.384,-84.285,479.0
7642,32232133,84174909,32.384,-84.285,479.0
7643,32275771,84160016,32.452,-84.267,544.62
7644,32280153,84155875,32.467,-84.252,423.23
7645,32262108,84163626,32.434,-84.268,521.65
7646,32262115,84163709,32.434,-84.268,521.65
7647,32301198,84200409,32.5,-84.333,498.69
7648,32312801,84184043,32.517,-84.301,492.13
7649,32275721,84160123,32.452,-84.267,544.62
7650,32280359,84155881,32.467,-84.252,423.23
7651,32360756,84195980,32.6,-84.318,541.34
7652,32314933,84123416,32.518,-84.201,587.27
7653,32400939,84055549,32.667,-84.085,377.3
7654,31573798,82432337,31.951,-82.717,203.41
7655,32031051,82542826,32.05,-82.901,196.85
7656,32031087,82542880,32.05,-82.901,196.85
7657,31592909,82551860,31.984,-82.917,219.82
7658,31573920,83021881,31.951,-83.034,259.19
7659,32000712,82562522,32.0,-82.934,190.29
7660,32002970,82450975,32.001,-82.75,177.17
7661,32073208,82552186,32.118,-82.917,236.22
7662,31553864,82550901,31.918,-82.917,255.91
7663,31565690,82483636,31.935,-82.801,262.47
7664,32045156,82531503,32.068,-82.884,213.25
7665,31481522,82585880,31.8,-82.968,177.17
7666,31540428,82515533,31.9,-82.852,154.2
7667,31545756,82515745,31.902,-82.852,196.85
7668,31560772,82401340,31.934,-82.667,114.83
7669,32030888,82485626,32.05,-82.802,190.29
7670,31561168,83011318,31.934,-83.017,209.97
7671,31531021,83032908,31.884,-83.051,242.78
7672,31520842,83002296,31.867,-83.001,206.69
7673,32041061,82561267,32.067,-82.934,262.47
7674,32013793,83012736,32.018,-83.017,308.4
7675,32012479,82593470,32.017,-82.984,219.82
7676,31590394,82533843,31.983,-82.884,196.85
7677,31575803,82421810,31.952,-82.701,160.76
7678,31582218,82421684,31.967,-82.7,121.39
7679,31585181,82464398,31.968,-82.768,127.95
7680,31590146,82494004,31.983,-82.818,190.29
7681,31551171,82584814,31.917,-82.968,236.22
7682,31551758,82583982,31.917,-82.968,236.22
7683,31522546,82545356,31.867,-82.901,154.2
7684,32012154,83023980,32.017,-83.034,291.99
7685,31573855,82432283,31.951,-82.717,203.41
7686,31571818,82512131,31.951,-82.851,154.2
7687,32001900,82513909,32.001,-82.851,167.32
